CHEM 2090,Marohn,B/B+,Fall 2020,,NOT GRADED!! ,"A- (FA19, Davis) B+ (FA 18 Wilson)",
EAS 1310,Wysocki,B-,Fall 2018,32,,,
ANSC 2400,Allen,B,Spring 2019,114,,,
BEE 4760,Haith,B,Spring 2019,29,,"A- (FA19, Powers) ",
BIOG 1440,Buchon/Selvaraj/Shapleigh,B,Fall 2020,280, 3 cr,"B+ (FA19, Campbell) B (SP18)",
BIOG 1445,Campbell,B,Fall 2020,52, 4 cr,"A (No Data, Sarvary) A (SP15, FA17, SP18 with Sarvary)",
BIOMG 1350,Huffaker,B,Fall 2020,385, ,"B (SP18, No Data) B (FA17 thru FA18)",
CEE 3310,Cowen,B,Fall 2017,70,,,
CEE 3510,Lion,B,No Data,61,,,
CHEM 1560,Lorey,B,Fall 2019,124,,,
CHEM 1570,Kinsland,B,Spring 2017,257,,"B (FA19, Lee) B (FA17 with Lancaster)",
CHEM 2070,Lee,B,Fall 2020,675,huge time commitment,"B (SP17, SP18) ",
CHEM 2080,Hines,B,Spring 2019,726,,"B (FA19, Marohn) B (FA18, Abruna) & (SP19, Marohn)",
CHEM 3570,Ganem,B,Fall 2020,543, ,B(SP18),
CHEM 3580,Ruttledge,B,Spring 2019,561,,B+ (SP18),
CLASS 2643,Roby/Hicks,B,Spring 2019,32,,A- (SP 18 with Schwade (322 stud)),
CS 1112,Fan,B,Fall 2020,, ,"B (FA19, Gries/Bracy) B/B+ generally; B (SP18; FA18 with Gries/Bracy); B (SP19 with Gries/Clarkson)",
CS 2110,Gries/Muhlberger,B,Fall 2020,455, ,"A- (FA19, Myers) A- usually (FA 18)",
CS 4220,Damle,B,Spring 2019,64,,,
DEA 3510,Hedge,B,Fall 2018,14,,"A (FA19, Hirschl) A (FA18)",
EAS 2900,Wysocki,B,Spring 2019,17,,,
EAS 4510,Wysocki,B,Fall 2020,10,,,
ECON 3040,Mathieu,B,Spring 2019,167,,"A- (SP18, Diccicio) A- (FA18)",
ECON 4610,Brancaccio,B,Spring 2019,37,,B+ (SP18),
ENGRD 2020,Ritz,B,Fall 2019,229,"FA19 median ""just above B-""",,
ENGRD 2190,Duncan,B,Fall 2019,51,,B+ (FA17),
HADM 1210,MacAusland,B,Fall 2020,131, ,,
HADM 2430,Dev,B,Fall 2019,120,,A- (SP19),
ILRLE 2400,"Jacobson, Smith, Thomas",B,Fall 2018,132,,,
